"last_name, first_name","pitch_hand","active_spin_fourseam","active_spin_sinker","active_spin_cutter","active_spin_changeup","active_spin_splitter","active_spin_curve","active_spin_slider","active_spin_sweeper","active_spin_slurve"
"Gonsolin, Tony","R","96.2",,,,"86.2","66.1","30",,
"Eisert, Brandon","L","96.1","93.9",,"90.7",,,"42.8",,
"Legumina, Casey","R","96.1","95.2",,"91",,,,"48.4",
"López, Jorge","R","96","94.6",,"99",,"74.9","31.8",,
"Verlander, Justin","R","96",,,"93.8",,"64.8","37.6","53.7",
"Holman, Grant","R","96",,,,"78.2",,"9.2",,
"Cruz, Steven","R","95.9",,"63.4",,,,"52.5",,
"Gibaut, Ian","R","95.9",,"59.4",,,,"38.8","48.2",
"Leasure, Jordan","R","95.9",,,,,,"37.9",,
"Arrighetti, Spencer","R","95.9",,"44.5","94.8",,"76.9",,"57.4",
"Canning, Griffin","R","95.8",,"34.4","88.6",,"50","30.2",,
"Hanifee, Brenan","R","95.8","93.3",,"97.7",,,"16.9",,
"Banda, Anthony","L","95.7","93.1",,,,,"21.6",,
"Hill, Tim","L","95.7","91",,,,,,,
"Arias, Luarbert","R","95.7",,,,"84",,"29.7",,
"Ryan, Joe","R","95.6","94.3",,,"72.8",,"21.6","68.1",
"Sasaki, Roki","R","95.6",,,,"91.7",,"43.4",,
"Rodriguez, Elvin","R","95.4",,"49.5","97.7",,"79.2",,"36.1",
"Liberatore, Matthew","L","95.4","91.4","44.9","96.2",,"94.8","23.9",,
"Booser, Cam","L","95.4",,"19.6",,,,,"50.9",
"Young, Brandon","R","95.4",,"42.1","90",,"83.5",,,
"Martinez, Justin","R","95.3","95",,,"87.8",,"45.4",,
"Milner, Hoby","L","95.2","92",,"95",,,,"67.2",
"Mears, Nick","R","95.2",,,,,,"20.3",,
"McKenzie, Triston","R","95.1",,,,,"67.6",,,
"Márquez, Germán","R","95","93.9",,"99",,"20.1","32.3",,
"Nola, Aaron","R","95","92.5","47.6","99.6",,"80.4",,,
"Henry, Cole","R","95","92.8","32.8","91.5",,"56.1",,,
"Brown, Ben","R","95",,,"96.3",,"32",,,
"Littell, Zack","R","94.9","92.9",,,"77.1",,"49.8","50.8",
"Pivetta, Nick","R","94.9","96.6","55.6",,,"81.4",,"45.5",
"Gaddis, Hunter","R","94.9",,,"97.5",,,"53.6",,
"Baker, Bryan","R","94.9",,,"85.2",,,"45.8",,
"Weaver, Luke","R","94.9",,"71.1","83.1",,,"52.6",,
"Fermin, Jose","R","94.8","96.4",,,,,"11.5",,
"Abbott, Andrew","L","94.7",,,"95.5",,"42.9",,"31.8",
"Williams, Devin","R","94.6",,,"88.8",,,,,
"Ray, Robbie","L","94.5",,,"92.4",,"35.8","48",,
"Kahnle, Tommy","R","94.5",,,"98.2",,,,,
"Taillon, Jameson","R","94.4","93.3","52.1","85.8",,"69.4",,"51.5",
"Megill, Trevor","R","94.4",,,,,"40.9",,,
"Povich, Cade","L","94.4","92.7",,"84.9",,"85.3",,"40.1",
"Nicolas, Kyle","R","94.3",,,,,"78.4","30.5",,
"Kelly, Zack","R","94.2","94.2","61.2","95.1",,,,"52.2",
"Pearson, Nate","R","94.2",,,,,,"36.8",,
"Leiter, Jack","R","94.2","93.5",,"69.7",,"64.4","26.5",,
"Sterner, Justin","R","94.1",,"31.5",,,,,"53.2",
"Hernández, Carlos","R","94.1",,,,"89.9","55.5","25.7",,
"Santillan, Tony","R","94",,,,,,"29.3",,
"Brazobán, Huascar","R","94","90.9","49.7","81.3",,,,,
"Luzardo, Jesús","L","94","94.6",,"99.5",,,"15.9","39.1",
"Sale, Chris","L","94","92.4",,"98.9",,,"52.7",,
"Englert, Mason","R","93.9","85.6","23.7","61.5",,"80.8",,,
"Lopez, Jacob","L","93.9",,"62.2","99",,,"42.3",,
"Dollander, Chase","R","93.9",,"40.2","96.8",,"78.3",,,
"Jobe, Jackson","R","93.9","87.7",,"98.7",,"72.4","31",,
"Miller, Erik","L","93.9","95.6",,"99.6",,,"18.8",,
"Gillispie, Connor","R","93.8",,"36","83.8",,,,"56.1",
"Jackson, Luke","R","93.7",,,,,"67.5","38.8",,
"Díaz, Edwin","R","93.7",,,,,,"21.6",,
"Birdsong, Hayden","R","93.7",,,"84.7",,"76.9","29.1",,
"Hancock, Emerson","R","93.7","93.5",,"99.2",,,"38.6","56.2",
"Brown, Hunter","R","93.7","88.8","51.4","96.9",,"82.7","38.9",,
"Allard, Kolby","L","93.6",,"48.6","99.6",,"94.4",,,
"Bido, Osvaldo","R","93.6","92.4","16.1","95.6",,,"21.8",,
"Merryweather, Julian","R","93.6",,,,,,"22.2",,
"Suarez, José","L","93.5",,,"86.7",,,"26.5",,
"Miller, Mason","R","93.4",,,,,,"48.6",,
"Matsui, Yuki","L","93.1",,,,"74.1",,"38.9","43",
"Beeks, Jalen","L","93.1",,"19","90",,,,,
"Boyd, Matthew","L","93","94.4",,"87.1",,"79.6","28",,
"Kikuchi, Yusei","L","93",,,"90.6",,"41.2","30","39.4",
"Varland, Louis","R","92.9","93.9",,"84.8",,"48.6","36.4",,
"Baz, Shane","R","92.8",,,"94.3",,"75.3","23.3",,
"Okert, Steven","L","92.8",,,,,,"41.3",,
"Speier, Gabe","L","92.8","92.2",,,,,"39.7",,
"Ruiz, José","R","92.8","92",,"90.6",,"46.6",,,
"Richardson, Lyon","R","92.7","87.7",,"95.9",,"53.6",,,
"Pagán, Emilio","R","92.7",,"34.4",,"80.4",,,,
"Cabrera, Edward","R","92.6","88.3",,"93.2",,"74.3","24.1",,
"Hamilton, Ian","R","92.6","85.2",,,,,"38.8",,
"Berríos, José","R","92.5","98","48","98.6",,,,,"56.1"
"Wilson, Steven","R","92.5",,,"98.4",,,,"45.8",
"Green, Chad","R","92.4",,,,,,"27.1",,
"Eovaldi, Nathan","R","92.4",,"66.7",,"77.8","79.8","41",,
"Burke, Brock","L","92.3","90.4",,"78.6",,,"42.3",,
"Gusto, Ryan","R","92.3","85.1","45.9","98",,"89.8",,"48.8",
"Trivino, Lou","R","92.3","88.8","55.1","98.9",,,,"58.1",
"Skubal, Tarik","L","92.2","89.7",,"83.3",,"50.9","38.3",,
"Santana, Dennis","R","92.2","90.9",,"88.4",,,"22.7",,
"Severino, Luis","R","92.2","91.3","57.3","96.8",,,"39.7","58.1",
"Hoglund, Gunnar","R","92.2","94.1",,"82",,,"68.6","42.3",
"Castillo, Luis","R","92.2","94.7",,"94.2",,,"12.3",,
"Miller, Bryce","R","92.2","88.2",,,"69.9","71.1","24","61.2",
"Bigge, Hunter","R","92.2",,,,,"91.2","31.4",,
"Shuster, Jared","L","92.2",,,"73.5",,,"22.7",,
"Francis, Bowden","R","92.1","94.8",,,"94.1","84","28",,
"Schultz, Paxton","R","92.1",,"54.8","40.2",,,"41.3",,
"Snell, Blake","L","92.1",,,"98.2",,"56.4","61",,
"Patrick, Chad","R","91.8","86.1","36.8","73.2",,,"38.4",,
"Estes, Joey","R","91.7","91.9",,,,,"33.7","49.1",
"Sauer, Matt","R","91.7","94.9","46.1",,,,"48.2",,
"VanWey, Logan","R","91.6","86.6",,"92.5",,,,"41.8",
"Lynch IV, Daniel","L","91.5","89",,"94.9",,"32.3","18.9",,
"Martin, Chris","R","91.5","82.8","56",,"73.9",,,,
"Long, Sam","L","91.5",,,,"79.2","72.1","17.1",,
"Sims, Lucas","R","91.4",,,,,"62.2",,"45.5",
"Gillaspie, Logan","R","91.4",,"65.9","97.8",,"63.4","32.3",,
"Thielbar, Caleb","L","91.4",,,,,"82.9","41.6","45.9",
"Rutledge, Jackson","R","91.3","95.4","39.4",,"85.1",,"15.4",,
"De Los Santos, Enyel","R","91.3",,,"97.3",,,"36.2",,
"Lucas, Easton","L","91.3",,,"98.9",,,"23.1","33.6",
"Evans, Logan","R","91.2","90.9","17.2","94.1",,"63.8",,"50.5",
"Gore, MacKenzie","L","91.2",,"48.8","89.9",,"71.6","11.5",,
"Cruz, Fernando","R","91","91.2",,,"49.2",,"41.6",,
"Cleavinger, Garrett","L","91","85.1",,,,,"37.1","66.3",
"Henriquez, Ronny","R","91","89.4",,"96.9",,,"27.1","39.2",
"Ginkel, Kevin","R","91",,,,,,"30.8",,
"Puk, A.J.","L","91",,,,,,"21.1",,
"Rasmussen, Drew","R","90.9","90.3","31.3",,,"57.1",,"47.9",
"Zeferjahn, Ryan","R","90.8",,"35.4",,,,,"59.8",
"Chapman, Aroldis","L","90.7","88.9",,,"43.7",,"41.9",,
"Zerpa, Angel","L","90.7","81.7",,,,,"66.2",,
"Wilson, Bryse","R","90.5","87.1","51.9","91.4",,"56.3",,,
"Morillo, Juan","R","90.5","88.3",,,,,"43.1",,
"Muñoz, Andrés","R","90.5","88.6",,,,,"32.8",,
"deGrom, Jacob","R","90.4",,,"89.8",,"57.3","30.6",,
"Shugart, Chase","R","90.4","88.9","34.4","91.8",,,,"61.5",
"Bazardo, Eduard","R","90.4","88.1",,,"87.6",,"59.5",,
"Brieske, Beau","R","90.2","87.8",,"80.8",,,"21.2",,
"Martinez, Nick","R","90.2","88.9","50.6","79.3",,"85.1","11.5",,
"Kolek, Stephen","R","90","79.6","41.4","71.6",,,"25.9",,
"Vest, Will","R","90","87.5",,"95",,,"13.2",,
"Yamamoto, Yoshinobu","R","89.8","87.4","43",,"75.6","95.3","37.9",,
"Ober, Bailey","R","89.8","95.9",,"99.5",,"73.4","42","44.2",
"Buehler, Walker","R","89.7","88","56.2","95.3",,"93.6",,"66.8",
"Cano, Yennier","R","89.7","86.6","38.7","97.8",,,"28",,
"Soto, Gregory","L","89.6","91.1",,,,,"23.4",,
"Graceffo, Gordon","R","89.4",,,,,"73.4","29.7",,
"Hicks, Jordan","R","89.3","83.6",,,"92.7",,,"50.5",
"Fairbanks, Pete","R","89.2",,,"70.5",,,"45.1",,
"Lawrence, Casey","R","89.2","88",,"94.6",,,,"34.4",
"Festa, David","R","89","93.6",,"80.6",,,"23.2",,
"Mikolas, Miles","R","89","82.2",,"90.7",,"81.6","34.9","39.7",
"Alexander, Tyler","L","89","88.7","46","87.7",,,,"50.8",
"Olson, Reese","R","88.9","90",,"75.1",,"79","31.3",,
"Wentz, Joey","L","88.9",,"34",,,"52.9",,,
"Slaten, Justin","R","88.9",,"53.1",,,"78.7",,"53.9",
"Cease, Dylan","R","88.8","84.3",,"92.3",,"78.1","27.2",,
"Woo, Bryan","R","88.8","83",,"87.3",,,"27.6","40.7",
"Bellozo, Valente","R","88.8",,"45.4","89.2","41.6","61.6",,"57.6",
"Ellard, Fraser","L","88.7","79.2",,"71.8",,,"46.5",,
"Rocker, Kumar","R","88.6","90.2",,"98.6",,"74.1","18.8",,
"Helsley, Ryan","R","88.5",,"56.4",,,"68","24.6",,
"Bachar, Lake","R","88.5",,,,"98.7",,"22.7","48",
"Ortiz, Luis L.","R","88.5","79.3","48.3","94.2",,,"22.7",,
"Rea, Colin","R","88.4","82.9","50",,"88.9","73.6","46.6","61.1",
"Adam, Jason","R","88.4",,,"74.9",,,"19.2","53.4",
"Senga, Kodai","R","88.4","87","54.3",,"74.6",,"14.8","25",
"Newcomb, Sean","L","88.2","79.2","38.4","86.6",,"87.7",,,"67.6"
"Montero, Rafael","R","88.2",,,,"80.3",,"29.1",,
"Ferguson, Caleb","L","88.2","87.2","31.3",,,,,,"67.2"
"Hart, Kyle","L","88.1","86.1",,"99.3",,,"49.3","45.5",
"Corbin, Patrick","L","88","84.6","34.7","97.8",,,"21.3",,
"Webb, Jacob","R","87.9",,,"99.5",,,,"41.5",
"Vodnik, Victor","R","87.8",,,"82.1",,,"34.8",,
"Jacob, Alek","R","87.7","90.6",,"96.8",,,,"63",
"Sands, Cole","R","87.6","84.7","41.3",,"86.9","68.1",,,
"Sugano, Tomoyuki","R","87.6","85.9","38.6",,"83.5","68.2",,"38.4",
"Uceta, Edwin","R","87.5",,"49","74.8",,,,,
"Burke, Sean","R","87.5","94.3",,"99.2",,"82.6","32.1",,
"Winckowski, Josh","R","87.4","87.7","28.5","92.2",,,"36",,
"Hendricks, Kyle","R","87.1","78.9",,"73",,"79.7",,,
"Rodríguez, Randy","R","87",,,,,,"44.1",,
"Salazar, Eduardo","R","86.7","82.4",,,,,"26.7",,
"Kranick, Max","R","86.7",,,,,"71.2","56","55.3",
"Gibson, Kyle","R","86.7","77.7","42.6","75.3",,"72.7",,"48.9",
"Morejon, Adrian","L","86.7","83.3","55.2",,,,"34.3",,
"Veneziano, Anthony","L","86.6","85.1",,"98.2",,,"17.7","38.4",
"Mlodzinski, Carmen","R","86.6","86.3",,"60.5",,,"19.4","31.4",
"Holderman, Colin","R","86.3","87.7","33.5",,"88.7",,,"44.5",
"Clevinger, Mike","R","86.1",,"46","95.6",,,,"63.7",
"Pérez, Cionel","L","86.1","80.8",,,,,"19.6",,"56.7"
"Abreu, Bryan","R","86",,,,,,"56",,
"Montero, Keider","R","85.9","80.8",,"85.1",,"77.3","36.8",,
"Bubic, Kris","L","85.9","84.5",,"72.3",,,"14.9","47.1",
"Megill, Tylor","R","85.8","81.2",,"88.6",,"89.1","49.1",,
"Gallen, Zac","R","85.8",,"51","87.8",,"65.5","34.6",,
"Freeland, Kyle","L","85.7","82.8","38.9","97.4",,"45.1",,"38.5",
"Leahy, Kyle","R","85.6","82.7",,"69.2",,"81.6","40.2","40.6",
"Quintana, Jose","L","85.5","85.1",,"90.7",,"56.4",,,"52.6"
"Cannon, Jonathan","R","85.5","83.9","52.3","73.9",,,,"48",
"Boushley, Caleb","R","85.4","86.7","56.1","87.6",,"72.8",,"31.7",
"Sousa, Bennett","L","85.3",,,,,,"27.8",,
"Crochet, Garrett","L","85.3","86.2","36.4","99.1",,,,"51.4",
"Iglesias, Raisel","R","85.2","88.7",,"84.3",,,"34",,
"Peralta, Freddy","R","85.1",,,"87.1",,"54.3","34.7",,
"Spiers, Carson","R","85","79.8","48.3","93.4",,,,"57.7",
"Flaherty, Jack","R","84.8","80.1",,"80.6",,"80.3","41.7",,
"Ferguson, Tyler","R","84.8","84.4","35.4","93.3",,,,"37.3",
"Wheeler, Zack","R","84.7","86","47.7",,"85.6","66.1",,"38.6",
"Blewett, Scott","R","84.7",,,,"65.7",,"25.6",,
"Bibee, Tanner","R","84.6","85","33.2","91.6",,"72.4",,"54.7",
"Minter, A.J.","L","84.4",,"32.6","94.4",,,,,
"Casparius, Ben","R","84.2",,"39.2",,,"76.7","51",,
"Romero, JoJo","L","84.2","84.5",,"96.9",,,"36",,
"Anderson, Grant","R","84.1","82.6",,"88.9",,,,"64.6",
"King, Michael","R","84","76.8",,"95.9",,,"31.3","51.7",
"Bender, Anthony","R","83.9","84.7",,"84.4",,,"29.9","51.3",
"Jax, Griffin","R","83.9","84.4",,"77.9",,,,"42.8",
"Castillo, Luis F.","R","83.8","88.4",,"97.2",,,"58.3",,
"Eflin, Zach","R","83.7","76","52.1","89.7",,"64.5",,"53.3",
"Armstrong, Shawn","R","83.7","89","58.2",,,,,"42.7",
"Soriano, José","R","83.6","82.9",,,"75.6","69.8","21.7",,
"Vásquez, Randy","R","83.6","84.1","52.2","91.5",,"62.4",,"51.7",
"Barnes, Jacob","R","83.6",,"36.5",,,,"33.5",,
"Lugo, Seth","R","83.5","81.5","60.1","85.6","88.5","80","33.3","50.6","70.1"
"Garcia, Robert","L","83.5",,,"86.3",,,"25.9",,
"May, Dustin","R","83.3","81","27.8",,,,,"63",
"Kelly, Merrill","R","83.3","82.3","63.4","81.5",,"61.2","19.7",,
"Irvin, Jake","R","83.3","78.8","50.2","74.3",,"70.9",,,
"Morton, Charlie","R","83.3","83.6","29.3","79.2",,"73.1",,,
