DATE,OPPONENT,RESULT,SB,CS,SB - situation,CS- Situation,Outs,Innings,,
10-Aug-23,@PIT ,L 7-5,0 ,0 ,,N/A,,,,
11-Aug-23,@NYM ,W 7-0,0 ,0 ,,N/A,,,,
12-Aug-23,@NYM ,W 6-0,0 ,0 ,,N/A,,,,
12-Aug-23,@NYM ,W,1,0 ,0,N/A,0,1st,,
13-Aug-23,@NYM ,L,1,0 ,0,N/A,0,1st,,
14-Aug-23,vs NYY ,W 11-3,0 ,0 ,,,,,,
15-Aug-23,vs NYY ,W 5-0,0 ,0 ,,,,,,
16-Aug-23,vs NYY ,W,0,1 ,N/A,2,2,5th,,
18-Aug-23,vs SF ,W 4-0,0 ,0 ,,,,,,
19-Aug-23,vs SF ,W 6-5,0 ,0 ,,,,,,
20-Aug-23,vs SF ,L,1,0 ,1,N/A,2,8th,,
21-Aug-23,vs NYM ,L 10-4,0 ,0 ,,,,,,
22-Aug-23,vs NYM ,W,1,0 ,0,N/A,2,1st,,
23-Aug-23,vs NYM ,W,0,1 ,N/A,1,1,5th,,
25-Aug-23,@SF ,W 5-1,0 ,0 ,,,,,,
26-Aug-23,@SF ,W,1,0 ,1,N/A,1,3rd,,
27-Aug-23,@SF ,L 8-5,0 ,0 ,,N/A,,,,
28-Aug-23,@COL ,W,1,0 ,1,N/A,0,7th,,
28-Aug-23,@COL ,W,1,0 ,5,N/A,1,8th,,
29-Aug-23,@COL ,W 3-1,0 ,0 ,,N/A,,,,
30-Aug-23,@COL ,W 7-3,0 ,0 ,,N/A,,,,
31-Aug-23,@LAD ,W,1,0 ,1,N/A,1,9th,,
1-Sep-23,@LAD ,W,1,0 ,3,N/A,0,5th,,
2-Sep-23,@LAD ,W 4-2,0 ,0 ,,,,,,
3-Sep-23,@LAD ,L 3-1,0 ,0 ,,,,,,
5-Sep-23,vs STL ,L 10-6,0 ,0 ,,,,,,
6-Sep-23,vs STL ,L 11-6,0 ,0 ,,,,,,
7-Sep-23,vs STL ,W 8-5,0 ,0 ,,,,,,
8-Sep-23,vs PIT ,W 8-2,0 ,0 ,,,,,,
9-Sep-23,vs PIT ,L,1,1 ,4,0,2,1st,,
9-Sep-23,vs PIT ,L,1,1 ,4,0,0,6th,,
10-Sep-23,vs PIT ,W 5-2,0 ,0 ,,,,,,
11-Sep-23,@PHI ,L 7-5,0 ,0 ,,,,,,
11-Sep-23,@PHI ,W,1,1 ,2,0,1,1st,,
11-Sep-23,@PHI ,W,1,1 ,2,0,0,3rd,,
12-Sep-23,@PHI ,W 7-6,0 ,0 ,,,,,,
13-Sep-23,@PHI ,W,1,0 ,3,N/A,2,7th,,
15-Sep-23,@MIA ,L 9-6,0 ,0 ,,N/A,,,,
18-Sep-23,vs PHI ,L 7-1,0 ,0 ,,N/A,,,,
19-Sep-23,vs PHI ,W,1,0 ,3,N/A,0,5th,,
20-Sep-23,vs PHI ,L 6-5,0 ,0 ,,N/A,,,,
21-Sep-23,@WAS ,W,1,0 ,5,N/A,2,5th,,
22-Sep-23,@WAS ,W 9-6,0 ,0 ,,N/A,,,,
24-Sep-23,@WAS ,L 3-2,0 ,0 ,,N/A,,,,
26-Sep-23,vs CHC ,W 7-6,0 ,0 ,,N/A,,,,
27-Sep-23,vs CHC ,W,2,0 ,1,N/A,1,8th,,
28-Sep-23,vs CHC ,W,0,1 ,N/A,4,1,4th,,
29-Sep-23,vs WAS ,L,1,0 ,0,N/A,0,1st,,
29-Sep-23,vs WAS ,L,1,0 ,2,N/A,2,2nd,,
1-Oct-23,vs WAS ,L 10-9,0 ,0 ,,,,,,
,,,73,,,,,,,
