"last_name, first_name","pitch_hand","active_spin_fourseam","active_spin_sinker","active_spin_cutter","active_spin_changeup","active_spin_splitter","active_spin_curve","active_spin_slider","active_spin_sweeper","active_spin_slurve"
"Garcia, Luis","R","96.1",,"48.3","98.4",,"58.6",,"43.8",
"García, Deivi","R","96.1",,"48.6","96.5",,"75.7","38.5","54.9",
"Marte, Yunior","R","96","96",,,,,"23.4",,
"Garrett, Amir","L","96","95",,,,,"33.2",,
"Overton, Connor","R","96","95.2","65.9","98.5",,,"20","39.7",
"Logue, Zach","L","95.9","97.1",,"92.4",,"29.4",,,
"Ramirez, Nick","L","95.9","79.7",,"99.5",,,,"52.7",
"Karinchak, James","R","95.9",,,,,"45.2",,,
"Lauer, Eric","L","95.9",,"58",,,"56.4","28.7",,
"Sborz, Josh","R","95.9",,,,,"75.1","10.1",,
"Brigham, Jeff","R","95.9",,"57.6",,,,,"45.7",
"Nelson, Ryne","R","95.8",,"30.2","99.4",,"72.1","49.4","51",
"Hughes, Brandon","L","95.8","93.2",,,,,"24",,
"Hill, Garrett","R","95.8","94.5",,"98.5",,"70.4","19.4",,
"Ryan, Joe","R","95.7",,,,"81.2",,"41.6","56",
"Barlow, Joe","R","95.7",,,,,,"45.1",,
"Davies, Zach","R","95.6","94.3","66.4","99.4",,"62.7","22.8","48.2",
"Jackson, Jay","R","95.5",,,,,,"24.5",,
"Bradley, Archie","R","95.5","94.1",,,,"70.6",,,
"Falter, Bailey","L","95.5","94.3",,"90.5","92.8","65.8","58.7",,
"Gray, Jon","R","95.5",,,"99.4",,"75.8","29.5","37",
"Nola, Aaron","R","95.5","93.7","38.7","99.3",,"80",,,
"Lambert, Jimmy","R","95.4",,,"99.3",,"91.9","19.8",,
"Legumina, Casey","R","95.4",,,"91.4",,,"35.7","48.5",
"Wingenter, Trey","R","95.4",,,,,,"35",,
"Leiter Jr., Mark","R","95.4","89.1","52.2",,"89.4","96.9",,,
"Ureña, José","R","95.4","92.8",,"95.3",,,"42.3",,
"Acton, Garrett","R","95.4",,,"94",,,"18.7",,
"Sears, JP","L","95.4",,,"99",,,"22.8","27.4",
"Bass, Anthony","R","95.4","91.3",,,"87.3",,"42.2",,
"Ramsey, Lane","R","95.3",,,,,,"30.5",,
"Robertson, Nick","R","95.3",,,"98.9",,,"30.2","50.4",
"Kahnle, Tommy","R","95.3","98.3",,"98.7",,,"34.8",,
"Hill, Tim","L","95.3","91.3","79",,,,"53.3",,
"Alzolay, Adbert","R","95.2","94.5","57.5",,,,"41.2","40.1",
"Suarez, Robert","R","95.2","95.1",,"96.7",,,"30.9",,
"Clevinger, Mike","R","95.2","94.8","29","98.6",,"94.2",,"52.3",
"Canning, Griffin","R","95.2","95.6",,"88.2",,"52.1","21.1",,
"Devenski, Chris","R","95.2",,,"91.4",,,"32.4","47.4",
"Bradley, Taj","R","95.1",,"42.4",,"75.6","86.5",,,
"Stephenson, Robert","R","95.1",,"18.9",,"90.6",,"32.2",,
"Rodríguez, Yerry","R","95","93.2",,"99.5",,,"33",,
"Zerpa, Angel","L","95","87.5",,"98.7",,,"33",,
"Cortes, Nestor","L","95",,"46.6","94.1",,,"33.1","53.1",
"Winder, Josh","R","94.9","96",,"93.7",,"84","11.6","56.7",
"Scholtens, Jesse","R","94.9",,,"77",,"87.3","31",,
"Anderson, Nick","R","94.9","97.4",,,,"27.9",,,
"Wilson, Steven","R","94.8",,,"99.3",,,,"45.3",
"Jiménez, Joe","R","94.8",,,"92.5",,,"33.5",,
"DeSclafani, Anthony","R","94.8","93",,"96.1",,"76","42.7",,
"Estes, Joey","R","94.8",,"27.5","99.2",,,"46.3","44.9",
"Pérez, Eury","R","94.8",,,"95.1",,"30.8","37.2",,
"Jackson, Luke","R","94.8",,,,,"65.9","36",,
"Milone, Tommy","L","94.8",,,"87.3",,,"41.7",,
"Vest, Will","R","94.8","89.7",,"97.1",,,"33.5",,
"Winn, Keaton","R","94.7","88.9",,,"85.4",,"22",,
"Jarvis, Bryce","R","94.7",,,"97.9",,"90.1","47.9",,
"Pearson, Nate","R","94.7",,,,,"85.3","38.6",,
"Sale, Chris","L","94.6","92.2",,"99.2",,,"61.9",,
"Adcock, Ty","R","94.6",,,,,,"30",,
"Cole, Gerrit","R","94.5",,"54.1","99.2",,"77.4","26.7",,
"Davidson, Tucker","L","94.4","89.2",,,"74.4",,"39.6","64.7",
"Gaddis, Hunter","R","94.4",,"70","98.7",,"81.6","44.7",,
